uuid,date,tave,tmin,tmax,heat_index,wind_speed,rh,solar_rad,uv_rad,Barangay,City
CATMS384A3C,2022-12-27,26.44,25.43,27.5,28.55,2.35,81.19,169.73,21.55,Maasin,Zamboanga City
CATMS38D8E9,2022-12-27,26.81,26.25,27.43,29.33,2.93,80.35,158.24,20.62,Manicahan,Zamboanga City
CATMS3547C9,2022-12-27,26.52,25.71,27.62,28.73,3.4,81.04,169.64,22.15,Calabasa,Zamboanga City
CATMS36D747,2022-12-27,26.44,25.43,27.5,28.55,2.35,81.19,169.73,21.55,Labuan,Zamboanga City
CATMS3C4D80,2022-12-27,26.52,25.71,27.62,28.73,3.4,81.04,169.64,22.15,Taguiti,Zamboanga City
CATMS3A4BDE,2022-12-27,26.44,25.43,27.5,28.55,2.35,81.19,169.73,21.55,Barangay Zone IV (Pob.),Zamboanga City
CATMS3CA31B,2022-12-27,26.63,25.84,27.46,28.94,2.62,80.77,163.99,21.08,Talon-talon,Zamboanga City
CATMS372CE2,2022-12-27,26.81,26.25,27.43,29.33,2.93,80.35,158.24,20.62,Landang Laum,Zamboanga City
CATMS34F22E,2022-12-27,26.81,26.25,27.43,29.33,2.93,80.35,158.24,20.62,Cabaluay,Zamboanga City
CATMS36BABE,2022-12-27,26.35,25.13,27.75,28.37,2.65,81.2,175.6,22.27,La Paz,Zamboanga City
CATMS39A0A8,2022-12-27,26.81,26.25,27.43,29.33,2.93,80.35,158.24,20.62,Pasilmanta (Sacol Island),Zamboanga City
CATMS394B0D,2022-12-27,26.44,25.43,27.5,28.55,2.35,81.19,169.73,21.55,Pamucutan,Zamboanga City
CATMS3BBED3,2022-12-27,26.44,25.43,27.5,28.55,2.35,81.19,169.73,21.55,Santo Niño,Zamboanga City
CATMS3DF987,2022-12-27,26.48,25.5,27.94,28.7,3.3,81.6,168.65,22.28,Vitali,Zamboanga City
CATMS36489A,2022-12-27,26.53,25.59,27.68,28.75,3.09,80.87,169.78,21.92,Dulian (Upper Bunguiao),Zamboanga City
CATMS33F15D,2022-12-27,26.81,26.25,27.43,29.33,2.93,80.35,158.24,20.62,Arena Blanco,Zamboanga City
CATMS34800A,2022-12-27,26.67,25.98,27.52,29.03,3.16,80.7,163.94,21.39,Bolong,Zamboanga City
CATMS3E4F22,2022-12-27,26.44,25.29,28.26,28.67,3.21,82.15,167.65,22.4,Licomo,Zamboanga City
CATMS362C11,2022-12-27,26.44,25.43,27.5,28.55,2.35,81.19,169.73,21.55,Divisoria,Zamboanga City
CATMS3EDDCF,2022-12-27,26.35,25.13,27.75,28.37,2.65,81.2,175.6,22.27,Pasonanca Natural Park under Jurisdiction of Zamboanga City,Zamboanga City
CATMS3866C5,2022-12-27,26.44,25.43,27.5,28.55,2.35,81.19,169.73,21.55,Malagutay,Zamboanga City
CATMS37F4A1,2022-12-27,26.44,25.43,27.5,28.55,2.35,81.19,169.73,21.55,Lumayang,Zamboanga City
CATMS352B40,2022-12-27,26.81,26.25,27.43,29.33,2.93,80.35,158.24,20.62,Cacao,Zamboanga City
CATMS3DC075,2022-12-27,26.81,26.25,27.43,29.33,2.93,80.35,158.24,20.62,Tumalutab,Zamboanga City
CATMS3A84F0,2022-12-27,26.52,25.71,27.62,28.73,3.4,81.04,169.64,22.15,Quiniput,Zamboanga City
CATMS371059,2022-12-27,26.81,26.25,27.43,29.33,2.93,80.35,158.24,20.62,Landang Gua,Zamboanga City
CATMS350EB7,2022-12-27,26.44,25.43,27.5,28.55,2.35,81.19,169.73,21.55,Cabatangan,Zamboanga City
CATMS3AA179,2022-12-27,26.44,25.43,27.5,28.55,2.35,81.19,169.73,21.55,Recodo,Zamboanga City
CATMS3D6ADA,2022-12-27,26.44,25.43,27.5,28.55,2.35,81.19,169.73,21.55,Tugbungan,Zamboanga City
CATMS3BDB5C,2022-12-27,26.52,25.71,27.62,28.73,3.4,81.04,169.64,22.15,Sibulao (Caruan),Zamboanga City
CATMS3D31C8,2022-12-27,26.81,26.25,27.43,29.33,2.93,80.35,158.24,20.62,Tigtabon,Zamboanga City
CATMS3E3299,2022-12-27,26.44,25.43,27.5,28.55,2.35,81.19,169.73,21.55,Camino Nuevo,Zamboanga City
CATMS3DDCFE,2022-12-27,26.83,25.97,28.04,29.39,3.37,80.73,165.62,22.1,Tumitus,Zamboanga City
CATMS3A6867,2022-12-27,26.44,25.43,27.5,28.55,2.35,81.19,169.73,21.55,Putik,Zamboanga City
