Id,Date,Disease,Cases,Source
DPSRT0110D6,2021-12-06,ROTAVIRAL ENTERITIS,0.0,PIDSR
DPSRT004686,2021-12-06,HEPATITIS A,0.0,PIDSR
DPSRT00D8C6,2021-12-06,RABIES,0.0,PIDSR
DPSRT00FD56,2021-12-06,TYPHOID FEVER,0.0,PIDSR
DPSRT006B16,2021-12-06,CHOLERA,0.0,PIDSR
DPSRT006B22,2021-12-13,CHOLERA,0.0,PIDSR
DPSRT004692,2021-12-13,HEPATITIS A,0.0,PIDSR
DPSRT008FB2,2021-12-13,DENGUE FEVER,31.0,PIDSR
DPSRT0110E2,2021-12-13,ROTAVIRAL ENTERITIS,0.0,PIDSR
DPSRT00B442,2021-12-13,LEPTOSPIROSIS,1.0,PIDSR
DPSRT002202,2021-12-13,ACUTE BLOODY DIARRHEA,0.0,PIDSR
DPSRT00FD62,2021-12-13,TYPHOID FEVER,1.0,PIDSR
DPSRT0121F2,2021-12-13,CHIKUNGUYA VIRAL DISEASE,0.0,PIDSR
DPSRT00D8D2,2021-12-13,RABIES,0.0,PIDSR
DPSRT0110EE,2021-12-20,ROTAVIRAL ENTERITIS,0.0,PIDSR
DPSRT00469E,2021-12-20,HEPATITIS A,0.0,PIDSR
DPSRT00B44E,2021-12-20,LEPTOSPIROSIS,0.0,PIDSR
DPSRT006B2E,2021-12-20,CHOLERA,0.0,PIDSR
DPSRT008FBE,2021-12-20,DENGUE FEVER,19.0,PIDSR
DPSRT00220E,2021-12-20,ACUTE BLOODY DIARRHEA,0.0,PIDSR
DPSRT00FD6E,2021-12-20,TYPHOID FEVER,1.0,PIDSR
DPSRT0121FE,2021-12-20,CHIKUNGUYA VIRAL DISEASE,0.0,PIDSR
DPSRT00D8DE,2021-12-20,RABIES,0.0,PIDSR
DPSRT00B45A,2021-12-27,LEPTOSPIROSIS,0.0,PIDSR
DPSRT0046AA,2021-12-27,HEPATITIS A,0.0,PIDSR
DPSRT00FD7A,2021-12-27,TYPHOID FEVER,1.0,PIDSR
DPSRT01220A,2021-12-27,CHIKUNGUYA VIRAL DISEASE,0.0,PIDSR
DPSRT008FCA,2021-12-27,DENGUE FEVER,23.0,PIDSR
DPSRT00221A,2021-12-27,ACUTE BLOODY DIARRHEA,0.0,PIDSR
DPSRT006B3A,2021-12-27,CHOLERA,0.0,PIDSR
DPSRT0110FA,2021-12-27,ROTAVIRAL ENTERITIS,0.0,PIDSR
DPSRT00D8EA,2021-12-27,RABIES,0.0,PIDSR
DPSRT012216,2022-01-03,CHIKUNGUYA VIRAL DISEASE,0.0,PIDSR
DPSRT006B46,2022-01-03,CHOLERA,0.0,PIDSR
DPSRT00FD86,2022-01-03,TYPHOID FEVER,1.0,PIDSR
DPSRT00D8F6,2022-01-03,RABIES,0.0,PIDSR
DPSRT002226,2022-01-03,ACUTE BLOODY DIARRHEA,0.0,PIDSR
DPSRT00B466,2022-01-03,LEPTOSPIROSIS,0.0,PIDSR
DPSRT011106,2022-01-03,ROTAVIRAL ENTERITIS,0.0,PIDSR
DPSRT008FD6,2022-01-03,DENGUE FEVER,56.0,PIDSR
DPSRT0046B6,2022-01-03,HEPATITIS A,1.0,PIDSR
DPSRT011112,2022-01-10,ROTAVIRAL ENTERITIS,0.0,PIDSR
DPSRT0046C2,2022-01-10,HEPATITIS A,0.0,PIDSR
DPSRT002232,2022-01-10,ACUTE BLOODY DIARRHEA,0.0,PIDSR
DPSRT006B52,2022-01-10,CHOLERA,0.0,PIDSR
DPSRT00B472,2022-01-10,LEPTOSPIROSIS,0.0,PIDSR
DPSRT008FE2,2022-01-10,DENGUE FEVER,42.0,PIDSR
DPSRT012222,2022-01-10,CHIKUNGUYA VIRAL DISEASE,0.0,PIDSR
DPSRT00D902,2022-01-10,RABIES,0.0,PIDSR
DPSRT00FD92,2022-01-10,TYPHOID FEVER,3.0,PIDSR
DPSRT00D90E,2022-01-17,RABIES,0.0,PIDSR
DPSRT00FD9E,2022-01-17,TYPHOID FEVER,3.0,PIDSR
DPSRT008FEE,2022-01-17,DENGUE FEVER,58.0,PIDSR
DPSRT006B5E,2022-01-17,CHOLERA,0.0,PIDSR
DPSRT00223E,2022-01-17,ACUTE BLOODY DIARRHEA,0.0,PIDSR
DPSRT01111E,2022-01-17,ROTAVIRAL ENTERITIS,0.0,PIDSR
DPSRT0046CE,2022-01-17,HEPATITIS A,0.0,PIDSR
DPSRT01222E,2022-01-17,CHIKUNGUYA VIRAL DISEASE,0.0,PIDSR
DPSRT00B47E,2022-01-17,LEPTOSPIROSIS,0.0,PIDSR
DPSRT00D91A,2022-01-24,RABIES,0.0,PIDSR
DPSRT01112A,2022-01-24,ROTAVIRAL ENTERITIS,0.0,PIDSR
DPSRT01223A,2022-01-24,CHIKUNGUYA VIRAL DISEASE,0.0,PIDSR
DPSRT0046DA,2022-01-24,HEPATITIS A,1.0,PIDSR
DPSRT00FDAA,2022-01-24,TYPHOID FEVER,0.0,PIDSR
DPSRT008FFA,2022-01-24,DENGUE FEVER,41.0,PIDSR
DPSRT00224A,2022-01-24,ACUTE BLOODY DIARRHEA,0.0,PIDSR
DPSRT00B48A,2022-01-24,LEPTOSPIROSIS,0.0,PIDSR
DPSRT006B6A,2022-01-24,CHOLERA,0.0,PIDSR
DPSRT0046E6,2022-01-31,HEPATITIS A,0.0,PIDSR
DPSRT002256,2022-01-31,ACUTE BLOODY DIARRHEA,0.0,PIDSR
DPSRT00B496,2022-01-31,LEPTOSPIROSIS,0.0,PIDSR
DPSRT009006,2022-01-31,DENGUE FEVER,50.0,PIDSR
DPSRT006B76,2022-01-31,CHOLERA,0.0,PIDSR
DPSRT00D926,2022-01-31,RABIES,0.0,PIDSR
DPSRT012246,2022-01-31,CHIKUNGUYA VIRAL DISEASE,0.0,PIDSR
DPSRT00FDB6,2022-01-31,TYPHOID FEVER,1.0,PIDSR
DPSRT011136,2022-01-31,ROTAVIRAL ENTERITIS,0.0,PIDSR
DPSRT006B82,2022-02-07,CHOLERA,0.0,PIDSR
DPSRT00B4A2,2022-02-07,LEPTOSPIROSIS,0.0,PIDSR
DPSRT012252,2022-02-07,CHIKUNGUYA VIRAL DISEASE,0.0,PIDSR
DPSRT0046F2,2022-02-07,HEPATITIS A,0.0,PIDSR
DPSRT002262,2022-02-07,ACUTE BLOODY DIARRHEA,0.0,PIDSR
DPSRT00FDC2,2022-02-07,TYPHOID FEVER,2.0,PIDSR
DPSRT011142,2022-02-07,ROTAVIRAL ENTERITIS,0.0,PIDSR
DPSRT009012,2022-02-07,DENGUE FEVER,47.0,PIDSR
DPSRT00D932,2022-02-07,RABIES,0.0,PIDSR
DPSRT00D93E,2022-02-14,RABIES,0.0,PIDSR
DPSRT0046FE,2022-02-14,HEPATITIS A,0.0,PIDSR
